unique_entity_ID,unique_entity,names
0,marks and spencers,Marks and Spencers Ltd
1,ms,M&S Limited
2,nvidia ireland,NVIDIA Ireland
3,intel,Intel LLC
4,at t,AT & T; AT & T MOBILITY; AT&T; AT&T MOBILITY
8,dell,DELL INC.
9,walmart community,WAL-MART COMMUNITY; WALMART PAYMENTS
11,pitney bowes,"PITNEY BOWES; PITNEY BOWES GLOBAL FINANCIAL; PITNEY BOWES, INC"
14,oracle,ORACLE; ORACLE AMERICA INC; ORACLE CORPORATION; ORACLE USA INC
